                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.73689,                 2.0624,                 1.2062,                0.83025,                0.84922,                0.90643,                0.84463,                0.61974,                0.63136,                 1.3725,              0.0033239,              0.0033239,              0.0033239
                      2,                0.61078,                 1.0522,                 1.0971,                0.91772,                0.85734,                0.94589,                0.83237,                0.62773,                0.60482,                 1.3043,              0.0066352,              0.0066352,              0.0066352
                      3,                0.70212,                 1.0868,                 1.1458,                0.75587,                   0.65,                0.52033,                0.47014,                0.59158,                 1.2101,                 1.3596,              0.0099246,              0.0099246,              0.0099246
                      4,                0.76615,                 1.1402,                 1.1854,                0.73162,                0.98333,                0.98376,                0.62025,                0.90957,                 1.2287,                 1.6261,               0.009901,               0.009901,               0.009901
                      5,                0.74962,                  1.066,                 1.1774,                0.71484,                0.73876,                0.70842,                0.60653,                0.77127,                 1.3266,                 1.3997,               0.009901,               0.009901,               0.009901
                      6,                0.73093,                0.99629,                 1.1699,                0.81063,                0.80742,                0.85746,                0.77015,                0.63837,                0.89189,                 1.2588,               0.009868,               0.009868,               0.009868
                      7,                  0.712,                0.93125,                 1.1619,                0.91905,                 0.7882,                0.94542,                0.90291,                0.56146,                0.60938,                 1.2333,               0.009835,               0.009835,               0.009835
                      8,                0.69414,                0.90629,                  1.141,                0.89375,                0.92357,                 0.9627,                 0.9003,                0.70276,                0.66273,                 1.3236,               0.009802,               0.009802,               0.009802
                      9,                0.67746,                0.86779,                 1.1296,                0.90601,                0.81153,                0.90201,                0.85133,                0.52333,                0.58989,                 1.1551,               0.009769,               0.009769,               0.009769
                     10,                0.66452,                0.83306,                 1.1297,                0.88035,                0.95442,                0.96795,                0.92504,                0.52367,                0.56154,                 1.2488,               0.009736,               0.009736,               0.009736
                     11,                0.65267,                 0.7953,                 1.1158,                0.79103,                0.95395,                0.95646,                0.92872,                0.39491,                0.51271,                  1.019,               0.009703,               0.009703,               0.009703
                     12,                0.64435,                0.78615,                 1.1171,                0.94758,                0.95577,                0.99421,                0.89509,                0.67052,                 0.5238,                  1.411,                0.00967,                0.00967,                0.00967
                     13,                0.62972,                0.75014,                 1.1102,                0.97047,                0.94037,                0.99421,                0.94411,                0.43675,                 0.4725,                 1.0905,               0.009637,               0.009637,               0.009637
                     14,                0.62679,                 0.7401,                 1.1086,                0.85306,                0.97702,                0.95505,                0.87622,                0.41999,                0.55643,                 1.0296,               0.009604,               0.009604,               0.009604
                     15,                0.62381,                0.72878,                 1.1095,                0.89966,                0.96708,                0.99222,                0.89083,                0.55375,                0.47339,                 1.2028,               0.009571,               0.009571,               0.009571
                     16,                0.61309,                0.71399,                 1.0985,                0.94424,                0.97537,                  0.995,                0.95106,                0.43778,                0.42023,                 1.1094,               0.009538,               0.009538,               0.009538
                     17,                0.61255,                0.70619,                  1.095,                0.94149,                0.95685,                0.99341,                0.95126,                0.45204,                0.38845,                  1.088,               0.009505,               0.009505,               0.009505
                     18,                0.60398,                 0.6947,                 1.0929,                0.90958,                0.80981,                0.93657,                0.86361,                0.54517,                0.65688,                 1.1608,               0.009472,               0.009472,               0.009472
                     19,                0.59785,                0.66955,                 1.0852,                0.94169,                0.97261,                0.98591,                 0.8935,                0.52526,                0.35326,                 1.1995,               0.009439,               0.009439,               0.009439
                     20,                0.59882,                0.66966,                 1.0896,                0.98855,                0.93839,                0.99421,                0.93259,                0.47566,                0.42525,                 1.1221,               0.009406,               0.009406,               0.009406
                     21,                0.58634,                0.65759,                 1.0768,                0.95105,                0.99576,                  0.995,                0.94097,                0.57738,                0.46088,                 1.2233,               0.009373,               0.009373,               0.009373
                     22,                0.59021,                 0.6589,                 1.0838,                0.97184,                0.99012,                  0.995,                0.93847,                0.47093,                0.26978,                 1.0925,                0.00934,                0.00934,                0.00934
                     23,                0.58243,                0.63495,                 1.0798,                0.93951,                0.96911,                0.99222,                0.95744,                0.44534,                0.39643,                  1.105,               0.009307,               0.009307,               0.009307
                     24,                0.58316,                0.62801,                 1.0821,                 0.9642,                      1,                  0.995,                0.96613,                0.40992,                0.24945,                 1.0806,               0.009274,               0.009274,               0.009274
                     25,                0.57629,                0.62665,                 1.0796,                0.96334,                      1,                  0.995,                0.96654,                0.34005,                0.37243,                0.99019,               0.009241,               0.009241,               0.009241
                     26,                0.57586,                0.62478,                 1.0703,                0.95607,                0.98801,                  0.995,                0.95889,                0.43061,                0.25828,                 1.0925,               0.009208,               0.009208,               0.009208
                     27,                0.56943,                0.59769,                 1.0688,                0.95794,                0.94006,                0.99056,                0.96196,                0.35784,                0.31588,                0.99359,               0.009175,               0.009175,               0.009175
                     28,                 0.5629,                0.60154,                 1.0632,                0.93556,                0.96667,                0.97946,                0.89775,                0.58817,                0.39401,                 1.2126,               0.009142,               0.009142,               0.009142
                     29,                 0.5628,                0.59725,                 1.0619,                0.94152,                0.96838,                0.97727,                0.91733,                0.43029,                0.29352,                 1.1103,               0.009109,               0.009109,               0.009109
                     30,                0.56072,                  0.583,                 1.0668,                0.95833,                0.98333,                0.98389,                0.95652,                0.41884,                 0.2704,                 1.0681,               0.009076,               0.009076,               0.009076
                     31,                0.55838,                0.58705,                 1.0636,                0.94896,                0.97355,                  0.995,                0.96381,                0.28622,                0.28053,                0.95805,               0.009043,               0.009043,               0.009043
                     32,                0.55024,                0.57505,                 1.0597,                0.97196,                0.95255,                0.99348,                 0.9641,                 0.3935,                0.31645,                 1.0646,                0.00901,                0.00901,                0.00901
                     33,                0.54746,                0.57022,                 1.0582,                0.94625,                0.95844,                  0.995,                0.93999,                 0.5062,                0.33486,                 1.1628,               0.008977,               0.008977,               0.008977
                     34,                0.54943,                0.56476,                 1.0592,                0.94249,                0.98941,                0.98944,                0.92821,                0.45405,                0.33916,                 1.0609,               0.008944,               0.008944,               0.008944
                     35,                0.54635,                0.57618,                 1.0564,                0.91577,                0.94109,                0.96891,                0.95307,                0.39253,                0.35635,                 1.0837,               0.008911,               0.008911,               0.008911
                     36,                 0.5392,                0.55292,                 1.0537,                0.98041,                   0.95,                0.99262,                0.97557,                0.33965,                0.29207,                0.98202,               0.008878,               0.008878,               0.008878
                     37,                0.54104,                0.55383,                  1.054,                0.95046,                0.98557,                  0.995,                0.95118,                0.47479,                0.23918,                 1.1746,               0.008845,               0.008845,               0.008845
                     38,                0.53235,                 0.5465,                 1.0437,                 0.9764,                0.97785,                  0.995,                0.97738,                0.29908,                0.21099,                0.99067,               0.008812,               0.008812,               0.008812
                     39,                 0.5325,                0.54619,                 1.0434,                0.95797,                0.98314,                  0.995,                0.96471,                0.45209,                0.24374,                 1.1051,               0.008779,               0.008779,               0.008779
                     40,                 0.5368,                0.54913,                 1.0443,                0.92539,                0.93333,                0.97558,                0.95657,                0.39773,                0.28477,                 1.0876,               0.008746,               0.008746,               0.008746
                     41,                0.53342,                0.53692,                 1.0434,                0.95016,                0.94028,                0.97775,                0.93858,                 0.6073,                0.32509,                 1.2485,               0.008713,               0.008713,               0.008713
                     42,                0.53106,                0.52469,                  1.047,                0.96224,                 0.9735,                0.99348,                0.96586,                  0.386,                0.26149,                 1.0605,                0.00868,                0.00868,                0.00868
                     43,                0.52829,                0.52107,                 1.0454,                0.97443,                0.97979,                0.99421,                0.96456,                 0.3812,                0.25962,                 1.0359,               0.008647,               0.008647,               0.008647
                     44,                  0.526,                0.52672,                 1.0436,                0.96926,                0.96667,                0.97796,                0.95717,                0.38259,                0.26701,                 1.0633,               0.008614,               0.008614,               0.008614
                     45,                0.52152,                0.52987,                 1.0387,                0.96042,                0.93881,                  0.995,                0.97247,                0.30651,                0.25727,                 0.9649,               0.008581,               0.008581,               0.008581
                     46,                0.51701,                0.51425,                 1.0378,                0.95769,                0.96776,                0.99421,                0.96945,                0.35453,                0.32713,                0.99761,               0.008548,               0.008548,               0.008548
                     47,                0.52606,                0.51872,                 1.0455,                0.91217,                      1,                0.99183,                0.97451,                0.32532,                0.25525,                0.95389,               0.008515,               0.008515,               0.008515
                     48,                0.52016,                0.51222,                 1.0393,                0.97415,                 0.9795,                0.99421,                0.96896,                0.38041,                0.31117,                 1.0421,               0.008482,               0.008482,               0.008482
                     49,                0.51959,                0.51338,                 1.0372,                0.97243,                0.98689,                  0.995,                0.91728,                0.35698,                0.25304,                 1.0045,               0.008449,               0.008449,               0.008449
                     50,                0.51063,                0.49535,                 1.0324,                0.97257,                0.97299,                  0.995,                0.97534,                0.38629,                0.23322,                 1.0456,               0.008416,               0.008416,               0.008416
                     51,                0.51138,                0.49803,                 1.0338,                0.92291,                0.97085,                0.99022,                0.95823,                 0.3937,                0.29787,                 1.0484,               0.008383,               0.008383,               0.008383
                     52,                 0.5192,                0.49882,                 1.0368,                0.93512,                0.97762,                0.99024,                0.97365,                0.31181,                0.28338,                0.92349,                0.00835,                0.00835,                0.00835
                     53,                0.51926,                0.50034,                 1.0407,                0.97002,                0.97452,                0.99421,                0.97608,                0.31676,                0.23549,                0.98234,               0.008317,               0.008317,               0.008317
                     54,                0.50849,                 0.4971,                  1.036,                0.97274,                0.97979,                0.99421,                 0.9802,                0.28531,                 0.2253,                0.93576,               0.008284,               0.008284,               0.008284
                     55,                0.50925,                0.48256,                 1.0316,                0.97175,                0.98758,                  0.995,                0.97017,                0.36499,                0.22373,                 1.0305,               0.008251,               0.008251,               0.008251
                     56,                0.50761,                0.49207,                 1.0298,                0.94091,                0.96375,                  0.995,                0.95937,                 0.3733,                 0.3145,                 1.0108,               0.008218,               0.008218,               0.008218
                     57,                0.49846,                0.47986,                 1.0235,                0.96539,                0.96667,                0.97948,                0.96578,                0.33655,                0.21627,                 1.0015,               0.008185,               0.008185,               0.008185
                     58,                 0.5039,                0.47907,                 1.0298,                0.94932,                0.98718,                  0.995,                0.97071,                0.31182,                0.20921,                0.95804,               0.008152,               0.008152,               0.008152
                     59,                 0.5042,                 0.4882,                 1.0252,                0.95038,                0.96667,                0.99341,                0.97248,                0.34475,                0.23184,                 1.0328,               0.008119,               0.008119,               0.008119
                     60,                0.49664,                 0.4734,                 1.0243,                0.97615,                0.97674,                0.98398,                0.96379,                0.32048,                0.23542,                0.95897,               0.008086,               0.008086,               0.008086
                     61,                0.49671,                0.47016,                 1.0237,                0.94207,                0.98239,                0.99262,                0.96525,                0.36067,                0.25751,                 1.0205,               0.008053,               0.008053,               0.008053
                     62,                0.49423,                0.46795,                 1.0207,                0.96295,                0.97907,                0.99421,                0.96932,                0.35026,                0.29587,                0.97081,                0.00802,                0.00802,                0.00802
                     63,                0.49872,                0.47141,                 1.0255,                0.97022,                0.98333,                0.99348,                 0.9752,                   0.37,                0.25671,                 1.0286,               0.007987,               0.007987,               0.007987
                     64,                0.50628,                0.47876,                 1.0306,                0.96739,                      1,                  0.995,                0.97046,                 0.3221,                0.21026,                0.98748,               0.007954,               0.007954,               0.007954
                     65,                0.49649,                0.46291,                 1.0268,                0.96719,                      1,                  0.995,                0.97784,                0.28955,                0.20303,                0.96448,               0.007921,               0.007921,               0.007921
                     66,                0.49854,                0.47225,                 1.0222,                0.98091,                0.97968,                  0.995,                0.98303,                0.24242,                0.20596,                0.89541,               0.007888,               0.007888,               0.007888
                     67,                0.48907,                0.46645,                 1.0166,                 0.9754,                0.99011,                  0.995,                0.96625,                0.33581,                0.24051,                 1.0038,               0.007855,               0.007855,               0.007855
                     68,                0.49365,                0.45449,                 1.0196,                0.96591,                0.95985,                  0.995,                0.98149,                 0.3083,                0.24137,                 0.9461,               0.007822,               0.007822,               0.007822
                     69,                0.49188,                0.46248,                 1.0189,                0.97442,                0.98746,                  0.995,                0.97405,                0.31053,                0.21592,                0.95777,               0.007789,               0.007789,               0.007789
                     70,                0.49802,                0.46767,                 1.0245,                0.98659,                      1,                  0.995,                0.97883,                0.28877,                0.17629,                0.92355,               0.007756,               0.007756,               0.007756
                     71,                0.49022,                0.45672,                 1.0196,                  0.958,                0.97549,                  0.995,                0.97365,                0.34969,                0.23212,                0.98904,               0.007723,               0.007723,               0.007723
                     72,                0.49155,                0.45994,                 1.0175,                0.95522,                0.99755,                  0.995,                0.97651,                0.33857,                0.25981,                0.97545,                0.00769,                0.00769,                0.00769
                     73,                0.48806,                0.45232,                 1.0194,                0.96362,                0.98584,                  0.995,                 0.9656,                0.39152,                0.21685,                  1.047,               0.007657,               0.007657,               0.007657
                     74,                 0.4873,                0.45107,                 1.0134,                0.97276,                0.98713,                  0.995,                0.96549,                0.40013,                0.17523,                 1.0901,               0.007624,               0.007624,               0.007624
                     75,                0.49007,                0.45567,                 1.0171,                0.97086,                0.98792,                  0.995,                0.96272,                0.39332,                0.20809,                 1.0465,               0.007591,               0.007591,               0.007591
                     76,                0.47808,                0.44465,                 1.0137,                0.96108,                0.98417,                  0.995,                0.97912,                0.27745,                0.19224,                0.90863,               0.007558,               0.007558,               0.007558
                     77,                0.48237,                 0.4355,                 1.0123,                0.94949,                      1,                  0.995,                0.96439,                0.37367,                0.21272,                 1.0357,               0.007525,               0.007525,               0.007525
                     78,                0.47849,                0.44493,                 1.0157,                0.94851,                0.99377,                  0.995,                0.97262,                0.31486,                0.20812,                0.94914,               0.007492,               0.007492,               0.007492
                     79,                0.48242,                0.43663,                  1.018,                  0.972,                0.97451,                0.99348,                0.98272,                0.27594,                0.21275,                0.90371,               0.007459,               0.007459,               0.007459
                     80,                0.48284,                0.43728,                 1.0158,                0.96527,                0.98587,                  0.995,                0.96763,                0.30188,                0.19573,                0.94053,               0.007426,               0.007426,               0.007426
                     81,                0.48343,                0.43949,                 1.0117,                0.97249,                0.99056,                  0.995,                0.97208,                0.29905,                0.23271,                0.91464,               0.007393,               0.007393,               0.007393
                     82,                0.47155,                0.42851,                 1.0053,                 0.9543,                0.98218,                  0.995,                0.96485,                0.38449,                0.20315,                 1.0464,                0.00736,                0.00736,                0.00736
                     83,                0.47672,                0.43812,                 1.0107,                0.96734,                 0.9784,                0.99421,                0.98087,                0.27324,                0.20669,                0.90005,               0.007327,               0.007327,               0.007327
                     84,                 0.4803,                0.43842,                 1.0123,                0.95683,                 0.9679,                0.99182,                0.97376,                0.32265,                0.25707,                0.95526,               0.007294,               0.007294,               0.007294
                     85,                0.47654,                0.43256,                 1.0114,                0.95649,                0.98333,                0.99421,                0.98427,                0.27911,                0.21613,                0.91819,               0.007261,               0.007261,               0.007261
